FREQ_MHZ	GAIN_DBHIGH	PHASE_DEGHIGH	CAP_PREAMPHIGH	GAIN_DBLOW	PHASE_DEGLOW	CAP_PREAMPLOW
2.9	19.95	-28	7.49	-0.14	-27.75	6.98
3	19.94	-29.01	7.49	-0.15	-28.64	6.98
3.1	19.94	-30.03	7.49	-0.17	-29.53	6.98
3.2	19.93	-31.05	7.49	-0.17	-30.45	6.98
3.3	19.92	-32.07	7.49	-0.17	-31.44	6.98
3.4	19.92	-33.08	7.49	-0.17	-32.44	6.98
3.5	19.91	-34.1	7.49	-0.16	-33.44	6.98
3.6	19.91	-35.12	7.49	-0.16	-34.46	6.98
3.7	19.9	-36.13	7.49	-0.15	-35.47	6.98
3.8	19.9	-37.14	7.49	-0.15	-36.49	6.98
3.9	19.89	-38.15	7.48	-0.16	-37.48	6.97
4	19.89	-39.16	7.48	-0.17	-38.47	6.97
4.1	19.89	-40.18	7.48	-0.18	-39.46	6.97
4.2	19.89	-41.17	7.48	-0.19	-40.39	6.97
4.3	19.89	-42.17	7.48	-0.19	-41.32	6.97
4.4	19.88	-43.17	7.48	-0.19	-42.24	6.97
4.5	19.88	-44.2	7.48	-0.2	-43.24	6.97
4.6	19.87	-45.23	7.48	-0.2	-44.24	6.97
4.7	19.87	-46.27	7.48	-0.2	-45.24	6.97
4.8	19.86	-47.27	7.48	-0.2	-46.21	6.97
4.9	19.86	-48.27	7.48	-0.2	-47.17	6.97
5	19.85	-49.26	7.48	-0.2	-48.13	6.97
5.1	19.85	-50.28	7.48	-0.2	-49.1	6.97
5.2	19.86	-51.3	7.48	-0.2	-50.08	6.97
5.3	19.86	-52.33	7.48	-0.21	-51.06	6.97
5.4	19.86	-53.35	7.48	-0.21	-52.1	6.97
5.5	19.85	-54.38	7.48	-0.2	-53.17	6.97
5.6	19.85	-55.4	7.48	-0.19	-54.24	6.97
5.7	19.84	-56.41	7.48	-0.2	-55.26	6.97
5.8	19.84	-57.42	7.48	-0.21	-56.24	6.97
5.9	19.83	-58.42	7.48	-0.23	-57.21	6.97
6	19.84	-59.43	7.48	-0.22	-58.19	6.97
6.1	19.83	-60.47	7.48	-0.23	-59.19	6.97
6.2	19.82	-61.5	7.48	-0.23	-60.19	6.97
6.3	19.82	-62.5	7.48	-0.23	-61.16	6.97
6.4	19.81	-63.41	7.48	-0.23	-62.06	6.97
6.5	19.81	-64.32	7.48	-0.24	-62.97	6.97
6.6	19.81	-65.26	7.48	-0.25	-63.89	6.97
6.7	19.82	-66.29	7.48	-0.24	-64.92	6.97
6.8	19.83	-67.32	7.48	-0.24	-65.94	6.97
6.9	19.83	-68.35	7.48	-0.24	-66.96	6.97
7	19.82	-69.33	7.48	-0.23	-67.98	6.97
7.1	19.81	-70.31	7.48	-0.23	-69.01	6.97
7.2	19.81	-71.29	7.48	-0.23	-70.03	6.97
7.3	19.8	-72.35	7.48	-0.24	-71.02	6.97
7.4	19.8	-73.41	7.48	-0.25	-72.01	6.97
7.5	19.79	-74.47	7.48	-0.26	-72.99	6.97
7.6	19.77	-75.48	7.48	-0.28	-73.97	6.97
7.7	19.76	-76.5	7.48	-0.28	-74.94	6.97
7.8	19.75	-77.51	7.48	-0.29	-75.92	6.97
7.9	19.75	-78.5	7.48	-0.3	-76.91	6.97
8	19.75	-79.48	7.48	-0.31	-77.91	6.97
8.1	19.75	-80.47	7.48	-0.32	-78.91	6.97
8.2	19.75	-81.46	7.48	-0.32	-79.9	6.97
8.3	19.75	-82.47	7.48	-0.31	-80.88	6.97
8.4	19.75	-83.47	7.48	-0.31	-81.87	6.97
8.5	19.75	-84.48	7.48	-0.31	-82.84	6.97
8.6	19.74	-85.51	7.48	-0.33	-83.8	6.97
8.7	19.73	-86.53	7.48	-0.34	-84.76	6.97
8.8	19.72	-87.54	7.48	-0.34	-85.74	6.97
8.9	19.72	-88.54	7.48	-0.33	-86.73	6.97
9	19.72	-89.53	7.48	-0.32	-87.73	6.97
9.1	19.72	-90.54	7.48	-0.31	-88.75	6.97
9.2	19.71	-91.56	7.48	-0.31	-89.8	6.97
9.3	19.7	-92.59	7.48	-0.32	-90.86	6.97
9.4	19.69	-93.62	7.48	-0.33	-91.89	6.97
9.5	19.68	-94.68	7.48	-0.35	-92.87	6.97
9.6	19.68	-95.74	7.48	-0.37	-93.85	6.97
9.7	19.67	-96.69	7.48	-0.39	-94.74	6.97
9.8	19.67	-97.2	7.48	-0.38	-95.25	6.97
9.9	19.66	-97.71	7.48	-0.37	-95.76	6.97
10	19.66	-98.32	7.48	-0.36	-96.37	6.97
11	19.6	-110.08	7.47	-0.41	-108.01	6.96
12	19.55	-120.49	7.47	-0.47	-118.17	6.96
13	19.51	-131.03	7.47	-0.48	-128.59	6.96
14	19.43	-141.74	7.47	-0.57	-139.12	6.96
15	19.36	-152.6	7.47	-0.61	-149.69	6.96
16	19.3	-163.6	7.47	-0.67	-160.52	6.96
17	19.2	-174.72	7.46	-0.76	-171.59	6.95
18	19.12	-186.12	7.46	-0.83	-182.78	6.95
19	19.02	-197.68	7.46	-0.91	-194.21	6.95
20	18.96	-209.67	7.46	-0.96	-205.91	6.95
21	18.88	-222.13	7.46	-1.04	-218.32	6.95
22	18.8	-235.1	7.46	-1.11	-231.23	6.95
23	18.68	-249.01	7.45	-1.22	-244.79	6.94
24	18.52	-264.03	7.45	-1.37	-259.72	6.94
25	18.2	-280.07	7.45	-1.66	-275.64	6.94
26	17.67	-297.31	7.45	-2.19	-292.54	6.94
27	16.79	-314.91	7.43	-3.05	-310.24	6.93
28	15.59	-332.29	7.39	-4.26	-327.42	6.92
29	14.04	-348.36	7.4	-5.78	-343.42	6.92
30	12.28	-362.82	7.41	-7.52	-357.83	6.93
31	10.39	-375.59	7.43	-9.41	-370.41	6.93
32	8.45	-386.47	7.44	-11.3	-381.34	6.93
33	6.52	-396.08	7.45	-13.25	-390.72	6.93
34	4.62	-404.39	7.48	-15.14	-399.07	6.93
35	2.74	-411.8	7.49	-17	-406.42	6.93
36	0.93	-418.61	7.5	-18.83	-412.98	6.93
37	-0.87	-424.54	7.52	-20.62	-419.04	6.94
38	-2.7	-430.07	7.52	-22.42	-424.16	6.94
39	-4.47	-434.74	7.53	-24.18	-429.13	6.94
40	-6.26	-439.5	7.54	-25.96	-433.54	6.93
41	-8.1	-443.37	7.55	-27.76	-437.03	6.93
42	-9.98	-447.27	7.56	-29.66	-441.06	6.94
43	-12.01	-450.42	7.57	-31.73	-443.7	6.94
44	-14.08	-452.75	7.58	-33.77	-446.52	6.94
45	-16.39	-454.52	7.59	-36.03	-447.48	6.94
46	-19.03	-454.93	7.6	-38.35	-448.38	6.94
47	-22.07	-452.91	7.61	-41.52	-446.93	6.94
48	-25.76	-445.34	7.63	-45.89	-441.47	6.95
49	-30.1	-424.15	7.63	-49.91	-412.64	6.94
50	-31.72	-382.19	7.64	-50.65	-376.14	6.95
51	-28.98	-351.5	7.65	-48.43	-341.89	6.94
52	-26.09	-339.34	7.66	-45.6	-332.46	6.95
53	-23.84	-335.5	7.66	-43.5	-325.75	6.95
54	-22.2	-334.06	7.68	-42.06	-327.38	6.95
55	-20.95	-334.51	7.68	-40.38	-327.71	6.95
56	-19.92	-335.6	7.69	-39.63	-329.49	6.95
57	-19.11	-337	7.7	-38.4	-328.34	6.95
58	-18.39	-338.72	7.71	-37.9	-332.67	6.95
59	-17.82	-340.78	7.71	-37.39	-334.11	6.96
60	-17.28	-342.87	7.72	-37	-333.84	6.96
61	-16.85	-344.98	7.73	-36.32	-336.36	6.96
62	-16.45	-347.16	7.73	-35.99	-339.29	6.96
63	-16.13	-349.48	7.74	-35.71	-339.58	6.96
64	-15.82	-351.87	7.75	-35.32	-343.67	6.96
65	-15.54	-353.98	7.75	-35.06	-345.86	6.96
66	-15.29	-356.25	7.76	-34.64	-347.8	6.96
67	-15.1	-358.45	7.76	-34.6	-349.37	6.96
68	-14.88	-360.72	7.77	-34.34	-351.76	6.96
69	-14.71	-362.83	7.78	-34.15	-353.14	6.96
70	-14.53	-365.15	7.79	-34.02	-355.51	6.96
71	-14.38	-367.33	7.8	-33.7	-358.55	6.97
72	-14.22	-369.63	7.8	-33.69	-359.26	6.96
73	-14.1	-371.72	7.81	-33.5	-361.95	6.97
74	-13.98	-373.77	7.82	-33.34	-364.51	6.97
75	-13.88	-375.92	7.83	-33.28	-366.11	6.97
76	-13.78	-378.11	7.84	-33.07	-367.29	6.98
77	-13.69	-380.14	7.85	-32.88	-370.02	6.98
78	-13.59	-382.46	7.86	-32.92	-372.12	6.98
79	-13.54	-384.45	7.86	-32.87	-374.4	6.98
80	-13.46	-386.46	7.87	-32.66	-376.64	6.98
81	-13.39	-388.55	7.88	-32.72	-378.14	6.99
82	-13.31	-390.62	7.89	-32.57	-380.16	6.99
83	-13.25	-392.67	7.89	-32.48	-381.97	6.99
84	-13.21	-394.77	7.91	-32.49	-383.73	6.99
85	-13.15	-396.51	7.91	-32.22	-385.22	6.99
86	-13.14	-398.61	7.92	-32.29	-387.92	6.99
87	-13.08	-400.7	7.93	-32.22	-390.01	7
88	-13.03	-402.48	7.94	-32.18	-391.72	7
89	-13.01	-404.46	7.95	-32.21	-393.55	7
90	-12.97	-406.54	7.96	-32.09	-395.8	7
91	-12.96	-408.31	7.96	-32	-397.11	7
92	-12.94	-409.98	7.97	-31.96	-398.77	7.01
93	-12.9	-411.94	7.99	-31.91	-400.97	7.01
94	-12.9	-414.03	8	-31.99	-401.75	7.02
95	-12.88	-415.71	8.01	-32.04	-404.71	7.02
96	-12.89	-417.56	8.01	-31.91	-406	7.02
97	-12.87	-419.37	8.02	-31.83	-407.59	7.02
98	-12.85	-420.93	8.03	-31.87	-408.72	7.02
99	-12.84	-422.8	8.04	-31.84	-410.48	7.02
100	-12.84	-424.6	8.05	-31.77	-412.41	7.02
